year,imports,GDP,stock formation,consumption
1949,15.9,149.3,4.2,108.1
1950,16.4,161.2,4.1,114.8
1951,19,171.5,3.1,123.2
1952,19.1,175.5,3.1,126.9
1953,18.8,180.8,1.1,132.1
1954,20.4,190.7,2.2,137.7
1955,22.7,202.1,2.1,146
1956,26.5,212.4,5.6,154.1
1957,28.1,226.1,5,162.3
1958,27.6,231.9,5.1,164.3
1959,26.3,239,0.7,167.6
1960,31.1,258,5.6,176.8
1961,33.3,269.8,3.9,186.6
1962,37,288.4,3.1,199.7
1963,43.3,304.5,4.6,213.9
1964,49,323.4,7,223.8
1965,50.3,336.8,1.2,232
1966,56.6,353.9,4.5,242.9
1967,59.9,369.7,5,252
